,0
731,맛초킹순살/1
732,맛은 있지만 제가 생각하던 맛은 아니었습니다. 매운 걸 좋아하지만 쉽게 질리시는 분은 다른 메뉴 선택하시는 것을 추천합니다. 제가 쉽게 질리는 타입이 아니었다면 더 맛있게 먹었을 텐데 저의 혀가 바보인 게 아쉽네요.
733,da**
734, 2022년 3월 10일
735,신고
736,★★★★★ 맛 ★ 5 양 ★ 5
737,맛초킹순살/1
738,쿠폰할인으로 싸게 잘 먹었습니다
739,yu**
740, 2022년 3월 9일
741,신고
742,★★★★★ 맛 ★ 5 양 ★ 4
743,뿌링클 콤보/1
744,색좋고 맛좋고 너무 좋았어요~!
745,ju**
746, 2022년 3월 9일
747,신고
748,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 4
749,후라이드 윙/1
750,배달이 좀 늦였지만 치킨 맛있게 잘 먹었습니다
751,na**
752, 2022년 3월 9일
753,신고
754,★★★★★ 맛 ★ 4 양 ★ 4 배달 ★ 5
755,골드킹 순살/1
756,"맛있어요, 감사합니다"
757,ne**
758, 2022년 3월 8일
759,신고
760,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
761,뿌링클순살/1
762,선거운동중이라 오시기 힘드셨을텐데 일찍 왔어요 감사합니다~
763,se**
764, 2022년 3월 7일
765,신고
766,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
767,뿌링클/1
768,오랜만에 먹어도 여전히 맛있어요! 뿌링클 짱~
769,du**
770, 2022년 3월 7일
771,신고
772,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
773,뿌링클（반）＋치즈볼/1
774,맛도 좋고 배송도 빨라요!
775,ky**
776, 2022년 3월 6일
777,신고
778,★★★★★ 맛 ★ 5 양 ★ 5
779,골드킹 순살/1(옵션(콜라1.25L))
780,다른것도 먹어보고픈데 아이들때문에 맨날 뿌링클 ㅋ 맛있어요
781,손
782, 2022년 3월 1일
783,신고
784,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
785,"뿌링클（반）＋치즈볼/1(디저트(뿌링멘보샤),옵션(치킨무))"
786,잘 먹었습니다~!!
787,si**
788, 2022년 2월 28일
789,신고
790,★★★★★ 맛 ★ 5 양 ★ 5
791,뿌링클순살/1
792,항상 맛있게 먹어요
793,ra**
794, 2022년 2월 28일
795,신고
796,★★★★★ 맛 ★ 4 양 ★ 4 배달 ★ 4
797,뿌링클（반）＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경))
798,개꾸르르르를맛이에여
799,al**
800, 2022년 2월 27일
801,신고
802,★★★★★ 맛 ★ 5 양 ★ 5
803,"골드킹/1,뿌링핫도그/1"
804,뿌링핫도그 진짜 맛있어요 ^^
805,be**
806, 2022년 2월 26일
807,신고
808,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
809,뿌링클＋치즈볼/1
810,맛이써요~ 잘목었어요
811,ta**
812, 2022년 2월 26일
813,신고
814,★★★★★ 맛 ★ 5 양 ★ 5
815,뿌링클순살/1
816,맛있게 먹었습니다
817,wj**
818, 2022년 2월 26일
819,신고
820,★★★★★ 맛 ★ 5 양 ★ 5 배달 ★ 5
821,뿌링클 콤보＋치즈볼/1
822,오늘 4시반에 시켜서 그런가 엄청 맛있었음. 튀김도 잘튀겨졌고 따뜻했음. 평소보다 맛있었음. 먹고있는 도중에 찍음.
823,ga**
824, 2022년 2월 24일
825,신고
